From,Departure Delay,Count,TotalDepartures,Std_Delay,Probability
Bål,25.0,3,12350,2.314028257649713,0.00024291497975708503
Bål,26.0,5,12350,2.314028257649713,0.0004048582995951417
Bål,27.0,2,12350,2.314028257649713,0.00016194331983805668
Bål,28.0,1,12350,2.314028257649713,8.097165991902834e-05
Bål,30.0,22,12350,2.314028257649713,0.0017813765182186235
Cst,0.0,38696,49745,3.415384078513714,0.7778872248467182
Cst,1.0,3940,49745,3.415384078513714,0.07920394009448185
Cst,2.0,1704,49745,3.415384078513714,0.034254698964720075
Cst,3.0,953,49745,3.415384078513714,0.019157704291888632
Cst,4.0,716,49745,3.415384078513714,0.014393406372499749
Cst,5.0,917,49745,3.415384078513714,0.018434013468690322
Cst,6.0,453,49745,3.415384078513714,0.00910644285857875
Cst,7.0,358,49745,3.415384078513714,0.0071967031862498745
Cst,8.0,290,49745,3.415384078513714,0.00582973163131973
Cst,9.0,212,49745,3.415384078513714,0.004261734847723389
Cst,10.0,192,49745,3.415384078513714,0.003859684390390994
Cst,11.0,156,49745,3.415384078513714,0.0031359935671926827
Cst,12.0,103,49745,3.415384078513714,0.0020705598552618353
Cst,13.0,151,49745,3.415384078513714,0.003035480952859584
Cst,14.0,91,49745,3.415384078513714,0.0018293295808623983
Cst,15.0,98,49745,3.415384078513714,0.0019700472409287365
Cst,16.0,80,49745,3.415384078513714,0.0016082018293295808
Cst,17.0,72,49745,3.415384078513714,0.0014473816463966228
Cst,18.0,53,49745,3.415384078513714,0.0010654337119308474
Cst,19.0,46,49745,3.415384078513714,0.000924716051864509
Cst,20.0,54,49745,3.415384078513714,0.001085536234797467
Cst,21.0,33,49745,3.415384078513714,0.0006633832545984522
Cst,22.0,43,49745,3.415384078513714,0.0008644084832646498
Cst,23.0,36,49745,3.415384078513714,0.0007236908231983114
Cst,24.0,24,49745,3.415384078513714,0.0004824605487988743
Cst,25.0,20,49745,3.415384078513714,0.0004020504573323952
Cst,26.0,20,49745,3.415384078513714,0.0004020504573323952
Cst,27.0,12,49745,3.415384078513714,0.00024123027439943714
Cst,28.0,27,49745,3.415384078513714,0.0005427681173987335
Cst,29.0,18,49745,3.415384078513714,0.0003618454115991557
Cst,30.0,177,49745,3.415384078513714,0.003558146547391698
Fas,0.0,33077,49825,3.520404104808145,0.6638635223281485
Fas,1.0,8133,49825,3.520404104808145,0.1632313095835424
Fas,2.0,2786,49825,3.520404104808145,0.05591570496738585
Fas,3.0,1384,49825,3.520404104808145,0.027777220270948318
Fas,4.0,931,49825,3.520404104808145,0.018685398896136476
Fas,5.0,605,49825,3.520404104808145,0.012142498745609633
Fas,6.0,486,49825,3.520404104808145,0.00975413948820873
Fas,7.0,347,49825,3.520404104808145,0.0069643753135975916
Fas,8.0,263,49825,3.520404104808145,0.005278474661314601
Fas,9.0,240,49825,3.520404104808145,0.00481685900652283
Fas,10.0,163,49825,3.520404104808145,0.0032714500752634218
Fas,11.0,114,49825,3.520404104808145,0.002288008028098344
Fas,12.0,185,49825,3.520404104808145,0.0037129954841946815
Fas,13.0,140,49825,3.520404104808145,0.0028098344204716508
Fas,14.0,110,49825,3.520404104808145,0.002207727044656297
Fas,15.0,85,49825,3.520404104808145,0.0017059708981435023
Fas,16.0,72,49825,3.520404104808145,0.001445057701956849
Fas,17.0,67,49825,3.520404104808145,0.00134470647265429
Fas,18.0,59,49825,3.520404104808145,0.0011841445057701957
Fas,19.0,69,49825,3.520404104808145,0.0013848469643753137
Fas,20.0,37,49825,3.520404104808145,0.0007425990968389363
Fas,21.0,48,49825,3.520404104808145,0.000963371801304566
Fas,22.0,36,49825,3.520404104808145,0.0007225288509784245
Fas,23.0,39,49825,3.520404104808145,0.0007827395885599598
Fas,24.0,25,49825,3.520404104808145,0.0005017561465127947
Fas,25.0,20,49825,3.520404104808145,0.00040140491721023583
Fas,26.0,31,49825,3.520404104808145,0.0006221776216758655
Fas,27.0,25,49825,3.520404104808145,0.0005017561465127947
Fas,28.0,24,49825,3.520404104808145,0.000481685900652283
Fas,29.0,22,49825,3.520404104808145,0.0004415454089312594
Fas,30.0,202,49825,3.520404104808145,0.004054189663823382
Gdv,0.0,8588,20610,3.235278655194758,0.41669092673459485
Gdv,1.0,8664,20610,3.235278655194758,0.42037845705967974
Gdv,2.0,1419,20610,3.235278655194758,0.06885007278020379
Gdv,3.0,576,20610,3.235278655194758,0.02794759825327511
Gdv,4.0,300,20610,3.235278655194758,0.01455604075691412
Gdv,5.0,163,20610,3.235278655194758,0.007908782144590005
Gdv,6.0,102,20610,3.235278655194758,0.004949053857350801
Gdv,7.0,120,20610,3.235278655194758,0.005822416302765648
Gdv,8.0,97,20610,3.235278655194758,0.004706453178068898
Gdv,9.0,85,20610,3.235278655194758,0.004124211547792334
Gdv,10.0,52,20610,3.235278655194758,0.0025230470645317806
Gdv,11.0,57,20610,3.235278655194758,0.0027656477438136825
Gdv,12.0,18,20610,3.235278655194758,0.0008733624454148472
Gdv,13.0,26,20610,3.235278655194758,0.0012615235322658903
Gdv,14.0,12,20610,3.235278655194758,0.0005822416302765648
Gdv,15.0,14,20610,3.235278655194758,0.0006792819019893256
Gdv,16.0,15,20610,3.235278655194758,0.000727802037845706
Gdv,17.0,44,20610,3.235278655194758,0.0021348859776807376
Gdv,18.0,61,20610,3.235278655194758,0.0029597282872392042
Gdv,19.0,24,20610,3.235278655194758,0.0011644832605531296
Gdv,20.0,13,20610,3.235278655194758,0.0006307617661329451
Gdv,21.0,10,20610,3.235278655194758,0.00048520135856380397
Gdv,22.0,10,20610,3.235278655194758,0.00048520135856380397
