From,To,Distance
Nyh,Spå,74.102
Ssä,Spå,56.73
Skg,Spå,30.14
Spå,Spå,0.0
Cst,Spå,11.418
Sst,Spå,13.45
Sub,Spå,4.848
Tåd,Spå,28.38
Ts,Spå,45.884
Vhe,Spå,41.871
Åbe,Spå,16.177
Äs,Spå,18.783
Öso,Spå,61.941
Bkb,Cst,14.246
Bro,Cst,34.442
Bål,Cst,43.552
Fas,Cst,14.962
Gdv,Cst,61.288
Hnd,Cst,25.018
Hfa,Cst,40.066
Jkb,Cst,17.593
Jbo,Cst,27.974
Khä,Cst,21.298
Ke,Cst,2.07
Kda,Cst,33.016
Kän,Cst,26.359
Ngd,Cst,59.472
Nyh,Cst,62.757
Ssä,Cst,45.385
Skg,Cst,18.795
Spå,Cst,11.418
Cst,Cst,0.0
Sst,Cst,2.105
Sub,Cst,6.584
Tåd,Cst,17.035
Ts,Cst,34.539
Vhe,Cst,30.526
Åbe,Cst,4.832
Äs,Cst,7.438
Öso,Cst,50.596
Bkb,Sst,16.278
Bro,Sst,36.475
Bål,Sst,45.584
Fas,Sst,12.898
Gdv,Sst,59.224
Hnd,Sst,22.954
Hfa,Sst,38.001
Jkb,Sst,19.625
Jbo,Sst,25.91
Khä,Sst,23.33
Ke,Sst,4.102
Kda,Sst,30.951
Kän,Sst,28.391
Ngd,Sst,57.408
Nyh,Sst,60.693
Ssä,Sst,43.321
Skg,Sst,16.731
Spå,Sst,13.45
Cst,Sst,2.105
Sst,Sst,0.0
Sub,Sst,8.617
Tåd,Sst,14.97
Ts,Sst,32.475
Vhe,Sst,28.462
Åbe,Sst,2.768
Äs,Sst,5.374
Öso,Sst,48.532
Bkb,Sub,7.676
Bro,Sub,27.872
Bål,Sub,36.981
Fas,Sub,21.473
Gdv,Sub,67.799
Hnd,Sub,31.529
Hfa,Sub,46.577
Jkb,Sub,11.023
Jbo,Sub,34.485
Khä,Sub,14.727
Ke,Sub,4.561
Kda,Sub,39.527
Kän,Sub,19.788
Ngd,Sub,65.984
Nyh,Sub,69.268
Ssä,Sub,51.896
Skg,Sub,25.307
Spå,Sub,4.848
Cst,Sub,6.584
Sst,Sub,8.617
Sub,Sub,0.0
Tåd,Sub,23.546
Ts,Sub,41.05
Vhe,Sub,37.038
Åbe,Sub,11.343
Äs,Sub,13.95
Öso,Sub,57.108
Bkb,Tåd,31.208
Bro,Tåd,51.404
Bål,Tåd,60.514
Fas,Tåd,2.086
Gdv,Tåd,44.271
Hnd,Tåd,8.001
Hfa,Tåd,23.049
Jkb,Tåd,34.555
Jbo,Tåd,10.957
Khä,Tåd,38.259
Ke,Tåd,19.019
Kda,Tåd,15.998
Kän,Tåd,43.321
Ngd,Tåd,42.455
Nyh,Tåd,45.74
Ssä,Tåd,28.368
Skg,Tåd,1.753
Spå,Tåd,28.38
Cst,Tåd,17.035
Sst,Tåd,14.971
Sub,Tåd,23.546
Tåd,Tåd,0.0
Ts,Tåd,17.522
Vhe,Tåd,13.509
Åbe,Tåd,12.348
Äs,Tåd,9.615
Öso,Tåd,33.579
Bkb,Ts,48.713
Bro,Ts,68.909
Bål,Ts,78.018
Fas,Ts,19.591
Gdv,Ts,26.755
Hnd,Ts,9.538
Hfa,Ts,5.532
Jkb,Ts,52.06
Jbo,Ts,6.589
Khä,Ts,55.764
Ke,Ts,36.523
Kda,Ts,1.53
Kän,Ts,60.825
Ngd,Ts,24.939
Nyh,Ts,28.223
Ssä,Ts,10.851
Skg,Ts,15.749
Spå,Ts,45.885
Cst,Ts,34.539
Sst,Ts,32.475
Sub,Ts,41.051
Tåd,Ts,17.522
Ts,Ts,0.0
Vhe,Ts,4.022
Åbe,Ts,29.853
Äs,Ts,27.119
Öso,Ts,16.063
Bkb,Vhe,44.7
Bro,Vhe,64.896
Bål,Vhe,74.006
Fas,Vhe,15.578
Gdv,Vhe,30.771
Hnd,Vhe,5.526
Hfa,Vhe,9.549
Jkb,Vhe,48.047
Jbo,Vhe,2.576
Khä,Vhe,51.751
Ke,Vhe,32.511
Kda,Vhe,2.499
Kän,Vhe,56.812
Ngd,Vhe,28.956
Nyh,Vhe,32.24
Ssä,Vhe,14.868
Skg,Vhe,11.736
Spå,Vhe,41.872
Cst,Vhe,30.527
Sst,Vhe,28.462
Sub,Vhe,37.038
Tåd,Vhe,13.509
Ts,Vhe,4.022
Vhe,Vhe,0.0
Åbe,Vhe,25.84
Äs,Vhe,23.107
Öso,Vhe,20.079
Bkb,Åbe,19.005
Bro,Åbe,39.201
Bål,Åbe,48.311
Fas,Åbe,10.275
Gdv,Åbe,56.601
Hnd,Åbe,20.331
Hfa,Åbe,35.379
Jkb,Åbe,22.352
Jbo,Åbe,23.287
Khä,Åbe,26.056
Ke,Åbe,6.829
Kda,Åbe,28.329
Kän,Åbe,31.118
Ngd,Åbe,54.786
Nyh,Åbe,58.07
Ssä,Åbe,40.698
Skg,Åbe,14.108
Spå,Åbe,16.177
Cst,Åbe,4.832
Sst,Åbe,2.768
Sub,Åbe,11.343
Tåd,Åbe,12.348
Ts,Åbe,29.852
Vhe,Åbe,25.84
Åbe,Åbe,0.0
Äs,Åbe,2.751
Öso,Åbe,45.91
Bkb,Äs,21.612
Bro,Äs,41.808
Bål,Äs,50.917
Fas,Äs,7.542
Gdv,Äs,53.868
Hnd,Äs,17.598
Hfa,Äs,32.646
Jkb,Äs,24.958
Jbo,Äs,20.554
Khä,Äs,28.663
Ke,Äs,9.43
Kda,Äs,25.596
Kän,Äs,33.724
Ngd,Äs,52.052
Nyh,Äs,55.337
Ssä,Äs,37.965
Skg,Äs,11.375
Spå,Äs,18.783
Cst,Äs,7.433
Sst,Äs,5.369
Sub,Äs,13.95
Tåd,Äs,9.614
Ts,Äs,27.119
Vhe,Äs,23.106
Åbe,Äs,2.746
Äs,Äs,0.0
Öso,Äs,43.176
Bkb,Öso,64.77
Bro,Öso,84.966
Bål,Öso,94.075
Fas,Öso,35.648
Gdv,Öso,10.705
Hnd,Öso,25.595
Hfa,Öso,10.561
Jkb,Öso,68.117
Jbo,Öso,22.646
Khä,Öso,71.821
Ke,Öso,52.58
Kda,Öso,17.587
Kän,Öso,76.882
Ngd,Öso,8.889
Nyh,Öso,12.174
Ssä,Öso,5.244
Skg,Öso,31.806
Spå,Öso,61.942
Cst,Öso,50.597
Sst,Öso,48.532
Sub,Öso,57.108
Tåd,Öso,33.579
Ts,Öso,16.063
Vhe,Öso,20.079
Åbe,Öso,45.91
Äs,Öso,43.176
Öso,Öso,0.0
