From,To,Passenger_Count
Tu,Hnd,605
Ts,Hnd,2
Udl,Hnd,250
Upv,Hnd,510
U,Hnd,22
Vhe,Hnd,17
Åbe,Hnd,764
Äs,Hnd,789
Öso,Hnd,2
Öte,Hnd,247
Bkb,Hel,373
Bro,Hel,163
Bål,Hel,241
Fas,Hel,289
Flb,Hel,1031
Gn,Hel,86
Gdv,Hel,2
Hnd,Hel,434
Hel,Hel,0
Hfa,Hel,1
Hu,Hel,635
Hgv,Hel,221
Jkb,Hel,856
Jbo,Hel,267
Khä,Hel,340
Ke,Hel,940
Kn,Hel,6
Kda,Hel,2
Kän,Hel,284
Mr,Hel,547
Mö,Hel,1
Nvk,Hel,172
Ngd,Hel,1
Nyh,Hel,85
Rs,Hel,86
R,Hel,341
Rön,Hel,217
Ssä,Hel,1
Skg,Hel,325
Sol,Hel,681
So,Hel,838
Spå,Hel,668
Cst,Hel,7290
Sst,Hel,1491
Sta,Hel,285
Sub,Hel,986
Söc,Hel,78
Söd,Hel,104
Söu,Hel,2
Tåd,Hel,179
Tul,Hel,358
Tu,Hel,622
Ts,Hel,2
Udl,Hel,289
Upv,Hel,610
U,Hel,26
Vhe,Hel,15
Åbe,Hel,802
Äs,Hel,811
Öso,Hel,2
Öte,Hel,254
Bkb,Hfa,1
Bro,Hfa,1
Bål,Hfa,1
Fas,Hfa,1
Flb,Hfa,2
Gn,Hfa,1
Gdv,Hfa,1
Hnd,Hfa,1
Hel,Hfa,1
Hfa,Hfa,0
Hu,Hfa,1
Hgv,Hfa,1
Jkb,Hfa,1
Jbo,Hfa,1
Khä,Hfa,1
Ke,Hfa,1
Kn,Hfa,1
Kda,Hfa,1
Kän,Hfa,1
Mr,Hfa,1
Mö,Hfa,1
Nvk,Hfa,1
Ngd,Hfa,1
Nyh,Hfa,1
Rs,Hfa,1
R,Hfa,1
Rön,Hfa,1
Ssä,Hfa,1
Skg,Hfa,1
Sol,Hfa,1
So,Hfa,1
Spå,Hfa,1
Cst,Hfa,8
Sst,Hfa,2
Sta,Hfa,1
Sub,Hfa,1
Söc,Hfa,1
Söd,Hfa,1
Söu,Hfa,1
Tåd,Hfa,1
Tul,Hfa,1
Tu,Hfa,1
Ts,Hfa,1
Udl,Hfa,1
Upv,Hfa,1
U,Hfa,1
Vhe,Hfa,1
Åbe,Hfa,1
Äs,Hfa,1
Öso,Hfa,1
Öte,Hfa,1
Bkb,Hu,463
Bro,Hu,203
Bål,Hu,299
Fas,Hu,410
Flb,Hu,1530
Gn,Hu,127
Gdv,Hu,2
Hnd,Hu,618
Hel,Hu,635
Hfa,Hu,1
Hu,Hu,0
Hgv,Hu,271
Jkb,Hu,1063
Jbo,Hu,379
Khä,Hu,423
Ke,Hu,1238
Kn,Hu,7
Kda,Hu,3
Kän,Hu,352
Mr,Hu,670
Mö,Hu,1
Nvk,Hu,210
Ngd,Hu,2
Nyh,Hu,120
Rs,Hu,105
R,Hu,417
Rön,Hu,322
Ssä,Hu,1
Skg,Hu,470
Sol,Hu,834
So,Hu,1076
Spå,Hu,839
Cst,Hu,9762
Sst,Hu,2030
Sta,Hu,416
Sub,Hu,1277
Söc,Hu,115
Söd,Hu,154
Söu,Hu,2
Tåd,Hu,259
Tul,Hu,531
Tu,Hu,922
Ts,Hu,2
Udl,Hu,366
Upv,Hu,746
U,Hu,31
Vhe,Hu,21
Åbe,Hu,1117
Äs,Hu,1154
Öso,Hu,3
Öte,Hu,377
Bkb,Hgv,159
Bro,Hgv,66
Bål,Hgv,97
Fas,Hgv,123
Flb,Hgv,440
Gn,Hgv,37
Gdv,Hgv,1
Hnd,Hgv,185
Hel,Hgv,221
Hfa,Hgv,1
Hu,Hgv,271
Hgv,Hgv,0
Jkb,Hgv,344
Jbo,Hgv,114
Khä,Hgv,148
Ke,Hgv,401
Kn,Hgv,3
Kda,Hgv,1
Kän,Hgv,114
Mr,Hgv,242
Mö,Hgv,1
Nvk,Hgv,76
Ngd,Hgv,1
Nyh,Hgv,36
Rs,Hgv,38
R,Hgv,151
Rön,Hgv,93
Ssä,Hgv,1
Skg,Hgv,139
Sol,Hgv,296
So,Hgv,357
Spå,Hgv,285
Cst,Hgv,3107
Sst,Hgv,636
Sta,Hgv,122
Sub,Hgv,421
Söc,Hgv,33
Söd,Hgv,45
Söu,Hgv,1
Tåd,Hgv,77
Tul,Hgv,153
Tu,Hgv,265
Ts,Hgv,1
Udl,Hgv,124
Upv,Hgv,269
U,Hgv,12
Vhe,Hgv,7
Åbe,Hgv,342
Äs,Hgv,346
Öso,Hgv,1
Öte,Hgv,109
Bkb,Jkb,650
Bro,Jkb,292
Bål,Jkb,431
Fas,Jkb,483
Flb,Jkb,1727
Gn,Jkb,144
Gdv,Jkb,2
Hnd,Jkb,727
Hel,Jkb,856
Hfa,Jkb,1
Hu,Jkb,1063
Hgv,Jkb,344
Jkb,Jkb,0
Jbo,Jkb,447
Khä,Jkb,610
Ke,Jkb,1574
Kn,Jkb,9
Kda,Jkb,3
Kän,Jkb,508
Mr,Jkb,838
Mö,Jkb,1
Nvk,Jkb,267
Ngd,Jkb,2
Nyh,Jkb,141
Rs,Jkb,133
R,Jkb,570
Rön,Jkb,364
Ssä,Jkb,1
Skg,Jkb,544
Sol,Jkb,1137
So,Jkb,1397
Spå,Jkb,1152
Cst,Jkb,12208
Sst,Jkb,2496
Sta,Jkb,477
Sub,Jkb,1685
Söc,Jkb,130
Söd,Jkb,174
Söu,Jkb,2
Tåd,Jkb,300
Tul,Jkb,600
Tu,Jkb,1040
Ts,Jkb,3
Udl,Jkb,465
Upv,Jkb,948
U,Jkb,40
Vhe,Jkb,24
Åbe,Jkb,1343
Äs,Jkb,1358
Öso,Jkb,3
Öte,Jkb,425
Bkb,Jbo,195
Bro,Jbo,85
Bål,Jbo,126
Fas,Jbo,183
Flb,Jbo,616
Gn,Jbo,52
Gdv,Jbo,1
Hnd,Jbo,300
Hel,Jbo,267
Hfa,Jbo,1
Hu,Jbo,379
Hgv,Jbo,114
Jkb,Jbo,447
Jbo,Jbo,0
Khä,Jbo,178
Ke,Jbo,520
Kn,Jbo,3
Kda,Jbo,2
Kän,Jbo,148
Mr,Jbo,282
Mö,Jbo,1
Nvk,Jbo,88
Ngd,Jbo,1
Nyh,Jbo,60
Rs,Jbo,44
R,Jbo,175
Rön,Jbo,130
Ssä,Jbo,1
Skg,Jbo,213
Sol,Jbo,350
So,Jbo,452
Spå,Jbo,353
Cst,Jbo,4098
Sst,Jbo,852
Sta,Jbo,170
Sub,Jbo,536
Söc,Jbo,47
Söd,Jbo,62
Söu,Jbo,1
Tåd,Jbo,116
Tul,Jbo,214
Tu,Jbo,372
Ts,Jbo,1
Udl,Jbo,154
Upv,Jbo,314
U,Jbo,13
Vhe,Jbo,11
Åbe,Jbo,469
Äs,Jbo,485
Öso,Jbo,2
Öte,Jbo,152
Bkb,Khä,259
Bro,Khä,120
Bål,Khä,177
Fas,Khä,192
Flb,Khä,686
Gn,Khä,57
Gdv,Khä,1
Hnd,Khä,289
Hel,Khä,341
Hfa,Khä,1
Hu,Khä,423
Hgv,Khä,149
Jkb,Khä,610
Jbo,Khä,178
Khä,Khä,0
Ke,Khä,626
Kn,Khä,4
Kda,Khä,2
Kän,Khä,209
