From,To,Travel_Time
Jbo,Nyh,39.0
Khä,Nyh,94.0
Ke,Nyh,74.0
Kda,Nyh,28.0
Kän,Nyh,98.0
Ngd,Nyh,15.633333333333333
Nyh,Nyh,0.0
Ssä,Nyh,16.0
Skg,Nyh,48.0
Spå,Nyh,83.0
Cst,Nyh,68.0
Sst,Nyh,65.0
Sub,Nyh,78.0
Tåd,Nyh,50.0
Ts,Nyh,25.0
Vhe,Nyh,31.0
Åbe,Nyh,62.0
Äs,Nyh,58.0
Öso,Nyh,12.0
Bkb,Ssä,71.0
Bro,Ssä,88.0
Bål,Ssä,93.0
Fas,Ssä,37.0
Gdv,Ssä,13.0
Hnd,Ssä,26.0
Hfa,Ssä,4.0
Jkb,Ssä,74.0
Jbo,Ssä,23.0
Khä,Ssä,78.0
Ke,Ssä,58.0
Kda,Ssä,12.0
Kän,Ssä,82.0
Ngd,Ssä,10.0
Nyh,Ssä,15.0
Ssä,Ssä,0.0
Skg,Ssä,32.0
Spå,Ssä,67.0
Cst,Ssä,52.0
Sst,Ssä,49.0
Sub,Ssä,62.0
Tåd,Ssä,34.0
Ts,Ssä,9.0
Vhe,Ssä,15.0
Åbe,Ssä,46.0
Äs,Ssä,42.0
Öso,Ssä,4.0
Bkb,Skg,39.0
Bro,Skg,56.0
Bål,Skg,61.0
Fas,Skg,5.0
Gdv,Skg,44.0
Hnd,Skg,6.0
Hfa,Skg,27.0
Jkb,Skg,42.0
Jbo,Skg,9.0
Khä,Skg,46.0
Ke,Skg,26.0
Kda,Skg,20.0
Kän,Skg,50.0
Ngd,Skg,41.0
Nyh,Skg,46.0
Ssä,Skg,31.0
Skg,Skg,0.0
Spå,Skg,35.0
Cst,Skg,20.0
Sst,Skg,17.0
Sub,Skg,30.0
Tåd,Skg,2.0
Ts,Skg,22.0
Vhe,Skg,12.0
Åbe,Skg,14.0
Äs,Skg,10.0
Öso,Skg,35.0
Bkb,Spå,4.0
Bro,Spå,21.0
Bål,Spå,26.0
Fas,Spå,30.0
Gdv,Spå,79.0
Hnd,Spå,41.0
Hfa,Spå,62.0
Jkb,Spå,7.0
Jbo,Spå,44.0
Khä,Spå,11.0
Ke,Spå,9.0
Kda,Spå,55.0
Kän,Spå,15.0
Ngd,Spå,76.0
Nyh,Spå,81.0
Ssä,Spå,66.0
Skg,Spå,35.0
Spå,Spå,0.0
Cst,Spå,12.0
Sst,Spå,18.0
Sub,Spå,4.0
Tåd,Spå,33.0
Ts,Spå,57.0
Vhe,Spå,47.0
Åbe,Spå,21.0
Äs,Spå,24.0
Öso,Spå,70.0
Bkb,Cst,17.0
Bro,Cst,34.0
Bål,Cst,39.0
Fas,Cst,16.0
Gdv,Cst,65.0
Hnd,Cst,27.0
Hfa,Cst,48.0
Jkb,Cst,20.0
Jbo,Cst,30.0
Khä,Cst,24.0
Ke,Cst,4.0
Kda,Cst,41.0
Kän,Cst,28.0
Ngd,Cst,62.0
Nyh,Cst,67.0
Ssä,Cst,52.0
Skg,Cst,21.0
Spå,Cst,13.0
Cst,Cst,0.0
Sst,Cst,4.0
Sub,Cst,8.0
Tåd,Cst,19.0
Ts,Cst,43.0
Vhe,Cst,33.0
Åbe,Cst,7.0
Äs,Cst,10.0
Öso,Cst,56.0
Bkb,Sst,22.0
Bro,Sst,39.0
Bål,Sst,44.0
Fas,Sst,12.0
Gdv,Sst,61.0
Hnd,Sst,23.0
Hfa,Sst,44.0
Jkb,Sst,25.0
Jbo,Sst,26.0
Khä,Sst,29.0
Ke,Sst,9.0
Kda,Sst,37.0
Kän,Sst,33.0
Ngd,Sst,58.0
Nyh,Sst,63.0
Ssä,Sst,48.0
Skg,Sst,17.0
Spå,Sst,18.0
Cst,Sst,3.0
Sst,Sst,0.0
Sub,Sst,13.0
Tåd,Sst,15.0
Ts,Sst,39.0
Vhe,Sst,29.0
Åbe,Sst,3.0
Äs,Sst,6.0
Öso,Sst,52.0
Bkb,Sub,9.0
Bro,Sub,26.0
Bål,Sub,31.0
Fas,Sub,26.0
Gdv,Sub,75.0
Hnd,Sub,37.0
Hfa,Sub,58.0
Jkb,Sub,12.0
Jbo,Sub,40.0
Khä,Sub,16.0
Ke,Sub,5.0
Kda,Sub,51.0
Kän,Sub,20.0
Ngd,Sub,72.0
Nyh,Sub,77.0
Ssä,Sub,62.0
Skg,Sub,31.0
Spå,Sub,5.0
Cst,Sub,8.0
Sst,Sub,14.0
Sub,Sub,0.0
